query_id,target_id_ranking
q_f2cdb76517a1,g_bf9a2a253bcd g_f9d76f64d617 g_687f1f38b2c3 g_858dc785cf2d g_31e014b88352 g_0543c42a8f32 g_e9acdf8b8ddc g_671004fc2775 g_a6bf3a75923e g_87349afa09f2 g_68971be96048 g_aff5d510e717 g_1a5aac51a659 g_626dcdad119a g_d889b7fc777b g_7944a8a0c287 g_db4a8dbe790b g_fd816175409d g_d648ead5c900 g_0b251252e181 g_0e83f250306f g_1307a0fd7c6b g_da1e5df4bc02 g_018969561d96 g_130a37598824 g_9f1cf15a2d25 g_13da2f95f620 g_19b453348e54 g_6fa85c5d715e g_50b48a5cc083 g_efaf352ea572 g_cfe6c79baec5 g_9053723af4c5 g_8f1a5d85202c g_cdab0312f9ba g_da5aa13b1968 g_9196ee89c94d g_435a82857e20 g_de34db7b1c7f g_97e267815836
q_1d0297f0e6eb,g_87349afa09f2 g_7944a8a0c287 g_687f1f38b2c3 g_e9acdf8b8ddc g_671004fc2775 g_68971be96048 g_a6bf3a75923e g_0b251252e181 g_858dc785cf2d g_626dcdad119a g_6fa85c5d715e g_bf9a2a253bcd g_31e014b88352 g_f9d76f64d617 g_efaf352ea572 g_1307a0fd7c6b g_1a5aac51a659 g_0e83f250306f g_d889b7fc777b g_aff5d510e717 g_0543c42a8f32 g_13da2f95f620 g_19b453348e54 g_d648ead5c900 g_fd816175409d g_cfe6c79baec5 g_da1e5df4bc02 g_cdab0312f9ba g_018969561d96 g_130a37598824 g_db4a8dbe790b g_9f1cf15a2d25 g_9053723af4c5 g_50b48a5cc083 g_435a82857e20 g_da5aa13b1968 g_9196ee89c94d g_8f1a5d85202c g_de34db7b1c7f g_97e267815836
q_e471c00236e4,g_68971be96048 g_687f1f38b2c3 g_7944a8a0c287 g_87349afa09f2 g_6fa85c5d715e g_626dcdad119a g_671004fc2775 g_e9acdf8b8ddc g_1307a0fd7c6b g_0e83f250306f g_858dc785cf2d g_a6bf3a75923e g_19b453348e54 g_f9d76f64d617 g_13da2f95f620 g_0b251252e181 g_0543c42a8f32 g_d889b7fc777b g_d648ead5c900 g_fd816175409d g_bf9a2a253bcd g_31e014b88352 g_efaf352ea572 g_130a37598824 g_da1e5df4bc02 g_9053723af4c5 g_018969561d96 g_db4a8dbe790b g_9196ee89c94d g_cfe6c79baec5 g_da5aa13b1968 g_9f1cf15a2d25 g_aff5d510e717 g_1a5aac51a659 g_de34db7b1c7f g_8f1a5d85202c g_50b48a5cc083 g_435a82857e20 g_97e267815836 g_cdab0312f9ba
q_3a1ca26dbf90,g_87349afa09f2 g_687f1f38b2c3 g_e9acdf8b8ddc g_7944a8a0c287 g_6fa85c5d715e g_50b48a5cc083 g_68971be96048 g_626dcdad119a g_0e83f250306f g_aff5d510e717 g_f9d76f64d617 g_19b453348e54 g_0b251252e181 g_bf9a2a253bcd g_1307a0fd7c6b g_13da2f95f620 g_31e014b88352 g_db4a8dbe790b g_d648ead5c900 g_a6bf3a75923e g_fd816175409d g_1a5aac51a659 g_671004fc2775 g_0543c42a8f32 g_018969561d96 g_da1e5df4bc02 g_858dc785cf2d g_cfe6c79baec5 g_130a37598824 g_9053723af4c5 g_d889b7fc777b g_435a82857e20 g_efaf352ea572 g_9f1cf15a2d25 g_de34db7b1c7f g_da5aa13b1968 g_9196ee89c94d g_8f1a5d85202c g_cdab0312f9ba g_97e267815836
q_546ce291274f,g_687f1f38b2c3 g_7944a8a0c287 g_68971be96048 g_6fa85c5d715e g_87349afa09f2 g_efaf352ea572 g_671004fc2775 g_e9acdf8b8ddc g_858dc785cf2d g_0e83f250306f g_0b251252e181 g_1a5aac51a659 g_9f1cf15a2d25 g_1307a0fd7c6b g_626dcdad119a g_f9d76f64d617 g_31e014b88352 g_a6bf3a75923e g_fd816175409d g_aff5d510e717 g_bf9a2a253bcd g_13da2f95f620 g_d889b7fc777b g_0543c42a8f32 g_da1e5df4bc02 g_19b453348e54 g_018969561d96 g_db4a8dbe790b g_cfe6c79baec5 g_130a37598824 g_9053723af4c5 g_d648ead5c900 g_da5aa13b1968 g_cdab0312f9ba g_50b48a5cc083 g_97e267815836 g_9196ee89c94d g_435a82857e20 g_8f1a5d85202c g_de34db7b1c7f
q_63289c1cb2be,g_687f1f38b2c3 g_e9acdf8b8ddc g_31e014b88352 g_a6bf3a75923e g_0b251252e181 g_fd816175409d g_87349afa09f2 g_626dcdad119a g_671004fc2775 g_f9d76f64d617 g_bf9a2a253bcd g_68971be96048 g_d648ead5c900 g_858dc785cf2d g_13da2f95f620 g_0543c42a8f32 g_7944a8a0c287 g_0e83f250306f g_cfe6c79baec5 g_018969561d96 g_1307a0fd7c6b g_aff5d510e717 g_50b48a5cc083 g_d889b7fc777b g_19b453348e54 g_6fa85c5d715e g_130a37598824 g_1a5aac51a659 g_db4a8dbe790b g_9053723af4c5 g_da1e5df4bc02 g_efaf352ea572 g_cdab0312f9ba g_9f1cf15a2d25 g_9196ee89c94d g_da5aa13b1968 g_de34db7b1c7f g_8f1a5d85202c g_435a82857e20 g_97e267815836
q_d92d49e56b74,g_687f1f38b2c3 g_68971be96048 g_87349afa09f2 g_e9acdf8b8ddc g_7944a8a0c287 g_d648ead5c900 g_6fa85c5d715e g_a6bf3a75923e g_1307a0fd7c6b g_0e83f250306f g_31e014b88352 g_f9d76f64d617 g_626dcdad119a g_671004fc2775 g_19b453348e54 g_858dc785cf2d g_0543c42a8f32 g_13da2f95f620 g_bf9a2a253bcd g_da1e5df4bc02 g_d889b7fc777b g_9053723af4c5 g_018969561d96 g_fd816175409d g_130a37598824 g_db4a8dbe790b g_0b251252e181 g_da5aa13b1968 g_cfe6c79baec5 g_aff5d510e717 g_9196ee89c94d g_8f1a5d85202c g_435a82857e20 g_1a5aac51a659 g_efaf352ea572 g_50b48a5cc083 g_de34db7b1c7f g_9f1cf15a2d25 g_97e267815836 g_cdab0312f9ba
q_511f87b5c69e,g_687f1f38b2c3 g_87349afa09f2 g_e9acdf8b8ddc g_0b251252e181 g_68971be96048 g_7944a8a0c287 g_671004fc2775 g_626dcdad119a g_a6bf3a75923e g_858dc785cf2d g_31e014b88352 g_19b453348e54 g_f9d76f64d617 g_d648ead5c900 g_1307a0fd7c6b g_bf9a2a253bcd g_0e83f250306f g_6fa85c5d715e g_13da2f95f620 g_d889b7fc777b g_0543c42a8f32 g_efaf352ea572 g_fd816175409d g_cfe6c79baec5 g_1a5aac51a659 g_aff5d510e717 g_130a37598824 g_db4a8dbe790b g_018969561d96 g_da1e5df4bc02 g_9f1cf15a2d25 g_9053723af4c5 g_cdab0312f9ba g_50b48a5cc083 g_da5aa13b1968 g_97e267815836 g_9196ee89c94d g_de34db7b1c7f g_8f1a5d85202c g_435a82857e20
q_0d69eae79da5,g_87349afa09f2 g_7944a8a0c287 g_68971be96048 g_687f1f38b2c3 g_1307a0fd7c6b g_671004fc2775 g_6fa85c5d715e g_e9acdf8b8ddc g_858dc785cf2d g_0e83f250306f g_a6bf3a75923e g_19b453348e54 g_f9d76f64d617 g_626dcdad119a g_13da2f95f620 g_31e014b88352 g_bf9a2a253bcd g_0543c42a8f32 g_0b251252e181 g_d889b7fc777b g_1a5aac51a659 g_fd816175409d g_d648ead5c900 g_9053723af4c5 g_da1e5df4bc02 g_efaf352ea572 g_130a37598824 g_9f1cf15a2d25 g_db4a8dbe790b g_018969561d96 g_cfe6c79baec5 g_aff5d510e717 g_9196ee89c94d g_da5aa13b1968 g_de34db7b1c7f g_435a82857e20 g_8f1a5d85202c g_50b48a5cc083 g_97e267815836 g_cdab0312f9ba
q_306c5073798f,g_da1e5df4bc02 g_db4a8dbe790b g_018969561d96 g_130a37598824 g_68971be96048 g_e9acdf8b8ddc g_d648ead5c900 g_0543c42a8f32 g_9196ee89c94d g_31e014b88352 g_687f1f38b2c3 g_13da2f95f620 g_626dcdad119a g_8f1a5d85202c g_da5aa13b1968 g_d889b7fc777b g_fd816175409d g_19b453348e54 g_1307a0fd7c6b g_0e83f250306f g_f9d76f64d617 g_87349afa09f2 g_cfe6c79baec5 g_aff5d510e717 g_a6bf3a75923e g_bf9a2a253bcd g_de34db7b1c7f g_671004fc2775 g_0b251252e181 g_7944a8a0c287 g_1a5aac51a659 g_9053723af4c5 g_858dc785cf2d g_50b48a5cc083 g_6fa85c5d715e g_435a82857e20 g_efaf352ea572 g_cdab0312f9ba g_9f1cf15a2d25 g_97e267815836
q_231c5e937f89,g_31e014b88352 g_687f1f38b2c3 g_cfe6c79baec5 g_f9d76f64d617 g_e9acdf8b8ddc g_a6bf3a75923e g_bf9a2a253bcd g_671004fc2775 g_0543c42a8f32 g_87349afa09f2 g_68971be96048 g_0b251252e181 g_d889b7fc777b g_858dc785cf2d g_db4a8dbe790b g_018969561d96 g_aff5d510e717 g_7944a8a0c287 g_130a37598824 g_d648ead5c900 g_cdab0312f9ba g_0e83f250306f g_fd816175409d g_1307a0fd7c6b g_626dcdad119a g_1a5aac51a659 g_13da2f95f620 g_8f1a5d85202c g_da1e5df4bc02 g_50b48a5cc083 g_9196ee89c94d g_19b453348e54 g_6fa85c5d715e g_9053723af4c5 g_da5aa13b1968 g_efaf352ea572 g_de34db7b1c7f g_9f1cf15a2d25 g_97e267815836 g_435a82857e20
q_c21e8ebd59c0,g_da5aa13b1968 g_68971be96048 g_687f1f38b2c3 g_da1e5df4bc02 g_f9d76f64d617 g_7944a8a0c287 g_d889b7fc777b g_e9acdf8b8ddc g_a6bf3a75923e g_87349afa09f2 g_671004fc2775 g_db4a8dbe790b g_0b251252e181 g_858dc785cf2d g_9196ee89c94d g_19b453348e54 g_1307a0fd7c6b g_d648ead5c900 g_626dcdad119a g_9053723af4c5 g_aff5d510e717 g_0543c42a8f32 g_13da2f95f620 g_0e83f250306f g_8f1a5d85202c g_de34db7b1c7f g_018969561d96 g_6fa85c5d715e g_fd816175409d g_31e014b88352 g_130a37598824 g_bf9a2a253bcd g_cfe6c79baec5 g_efaf352ea572 g_50b48a5cc083 g_9f1cf15a2d25 g_1a5aac51a659 g_435a82857e20 g_97e267815836 g_cdab0312f9ba
q_ec1be8215293,g_31e014b88352 g_687f1f38b2c3 g_e9acdf8b8ddc g_671004fc2775 g_0543c42a8f32 g_018969561d96 g_130a37598824 g_0b251252e181 g_db4a8dbe790b g_bf9a2a253bcd g_d889b7fc777b g_a6bf3a75923e g_aff5d510e717 g_f9d76f64d617 g_68971be96048 g_87349afa09f2 g_cdab0312f9ba g_fd816175409d g_626dcdad119a g_0e83f250306f g_d648ead5c900 g_858dc785cf2d g_cfe6c79baec5 g_1307a0fd7c6b g_13da2f95f620 g_da1e5df4bc02 g_19b453348e54 g_1a5aac51a659 g_7944a8a0c287 g_8f1a5d85202c g_9196ee89c94d g_efaf352ea572 g_50b48a5cc083 g_da5aa13b1968 g_6fa85c5d715e g_de34db7b1c7f g_97e267815836 g_9053723af4c5 g_435a82857e20 g_9f1cf15a2d25
q_0e2b5da53512,g_6fa85c5d715e g_7944a8a0c287 g_68971be96048 g_87349afa09f2 g_687f1f38b2c3 g_1307a0fd7c6b g_0e83f250306f g_e9acdf8b8ddc g_858dc785cf2d g_671004fc2775 g_f9d76f64d617 g_efaf352ea572 g_a6bf3a75923e g_31e014b88352 g_19b453348e54 g_626dcdad119a g_0b251252e181 g_9f1cf15a2d25 g_13da2f95f620 g_1a5aac51a659 g_aff5d510e717 g_d889b7fc777b g_fd816175409d g_0543c42a8f32 g_bf9a2a253bcd g_cfe6c79baec5 g_018969561d96 g_da1e5df4bc02 g_9053723af4c5 g_d648ead5c900 g_130a37598824 g_db4a8dbe790b g_da5aa13b1968 g_50b48a5cc083 g_9196ee89c94d g_435a82857e20 g_97e267815836 g_cdab0312f9ba g_8f1a5d85202c g_de34db7b1c7f
q_e782d79e146a,g_9053723af4c5 g_68971be96048 g_87349afa09f2 g_7944a8a0c287 g_1307a0fd7c6b g_0e83f250306f g_e9acdf8b8ddc g_687f1f38b2c3 g_f9d76f64d617 g_6fa85c5d715e g_19b453348e54 g_626dcdad119a g_13da2f95f620 g_fd816175409d g_da1e5df4bc02 g_858dc785cf2d g_d648ead5c900 g_0543c42a8f32 g_bf9a2a253bcd g_aff5d510e717 g_31e014b88352 g_671004fc2775 g_db4a8dbe790b g_d889b7fc777b g_0b251252e181 g_a6bf3a75923e g_1a5aac51a659 g_018969561d96 g_130a37598824 g_da5aa13b1968 g_efaf352ea572 g_435a82857e20 g_50b48a5cc083 g_9196ee89c94d g_cfe6c79baec5 g_de34db7b1c7f g_9f1cf15a2d25 g_97e267815836 g_8f1a5d85202c g_cdab0312f9ba
q_2827a43613a1,g_efaf352ea572 g_68971be96048 g_858dc785cf2d g_687f1f38b2c3 g_9f1cf15a2d25 g_6fa85c5d715e g_671004fc2775 g_87349afa09f2 g_e9acdf8b8ddc g_0e83f250306f g_d889b7fc777b g_626dcdad119a g_aff5d510e717 g_fd816175409d g_7944a8a0c287 g_13da2f95f620 g_f9d76f64d617 g_a6bf3a75923e g_1307a0fd7c6b g_19b453348e54 g_0b251252e181 g_31e014b88352 g_018969561d96 g_1a5aac51a659 g_bf9a2a253bcd g_0543c42a8f32 g_da1e5df4bc02 g_50b48a5cc083 g_d648ead5c900 g_9053723af4c5 g_db4a8dbe790b g_cdab0312f9ba g_130a37598824 g_da5aa13b1968 g_cfe6c79baec5 g_97e267815836 g_9196ee89c94d g_435a82857e20 g_de34db7b1c7f g_8f1a5d85202c
q_fa1c256f9682,g_cdab0312f9ba g_e9acdf8b8ddc g_31e014b88352 g_018969561d96 g_687f1f38b2c3 g_d889b7fc777b g_0543c42a8f32 g_671004fc2775 g_0e83f250306f g_a6bf3a75923e g_130a37598824 g_fd816175409d g_68971be96048 g_db4a8dbe790b g_626dcdad119a g_bf9a2a253bcd g_aff5d510e717 g_87349afa09f2 g_d648ead5c900 g_0b251252e181 g_cfe6c79baec5 g_9196ee89c94d g_13da2f95f620 g_da1e5df4bc02 g_50b48a5cc083 g_f9d76f64d617 g_1307a0fd7c6b g_858dc785cf2d g_19b453348e54 g_1a5aac51a659 g_9053723af4c5 g_7944a8a0c287 g_da5aa13b1968 g_efaf352ea572 g_6fa85c5d715e g_97e267815836 g_8f1a5d85202c g_de34db7b1c7f g_9f1cf15a2d25 g_435a82857e20
q_f31cb17489d6,g_d889b7fc777b g_f9d76f64d617 g_687f1f38b2c3 g_0543c42a8f32 g_db4a8dbe790b g_bf9a2a253bcd g_aff5d510e717 g_31e014b88352 g_671004fc2775 g_e9acdf8b8ddc g_68971be96048 g_018969561d96 g_858dc785cf2d g_1307a0fd7c6b g_87349afa09f2 g_da1e5df4bc02 g_a6bf3a75923e g_d648ead5c900 g_130a37598824 g_8f1a5d85202c g_626dcdad119a g_0e83f250306f g_9196ee89c94d g_7944a8a0c287 g_19b453348e54 g_da5aa13b1968 g_fd816175409d g_13da2f95f620 g_cdab0312f9ba g_0b251252e181 g_cfe6c79baec5 g_9053723af4c5 g_6fa85c5d715e g_1a5aac51a659 g_de34db7b1c7f g_50b48a5cc083 g_efaf352ea572 g_9f1cf15a2d25 g_435a82857e20 g_97e267815836
q_2d5c81bc8967,g_68971be96048 g_87349afa09f2 g_7944a8a0c287 g_687f1f38b2c3 g_6fa85c5d715e g_e9acdf8b8ddc g_1307a0fd7c6b g_19b453348e54 g_671004fc2775 g_626dcdad119a g_0e83f250306f g_9053723af4c5 g_a6bf3a75923e g_13da2f95f620 g_f9d76f64d617 g_d648ead5c900 g_0b251252e181 g_858dc785cf2d g_0543c42a8f32 g_da1e5df4bc02 g_fd816175409d g_d889b7fc777b g_bf9a2a253bcd g_31e014b88352 g_db4a8dbe790b g_da5aa13b1968 g_9196ee89c94d g_130a37598824 g_018969561d96 g_de34db7b1c7f g_1a5aac51a659 g_aff5d510e717 g_cfe6c79baec5 g_efaf352ea572 g_8f1a5d85202c g_435a82857e20 g_50b48a5cc083 g_97e267815836 g_9f1cf15a2d25 g_cdab0312f9ba
q_5c2b89e7b7ce,g_6fa85c5d715e g_68971be96048 g_87349afa09f2 g_7944a8a0c287 g_0e83f250306f g_687f1f38b2c3 g_1307a0fd7c6b g_e9acdf8b8ddc g_671004fc2775 g_f9d76f64d617 g_19b453348e54 g_858dc785cf2d g_13da2f95f620 g_626dcdad119a g_fd816175409d g_0b251252e181 g_a6bf3a75923e g_efaf352ea572 g_da1e5df4bc02 g_d648ead5c900 g_aff5d510e717 g_d889b7fc777b g_1a5aac51a659 g_cfe6c79baec5 g_018969561d96 g_130a37598824 g_db4a8dbe790b g_bf9a2a253bcd g_31e014b88352 g_9053723af4c5 g_0543c42a8f32 g_50b48a5cc083 g_da5aa13b1968 g_de34db7b1c7f g_9f1cf15a2d25 g_435a82857e20 g_9196ee89c94d g_97e267815836 g_8f1a5d85202c g_cdab0312f9ba
q_e1e9cce93828,g_f9d76f64d617 g_687f1f38b2c3 g_31e014b88352 g_bf9a2a253bcd g_e9acdf8b8ddc g_0543c42a8f32 g_a6bf3a75923e g_671004fc2775 g_858dc785cf2d g_d889b7fc777b g_87349afa09f2 g_0b251252e181 g_aff5d510e717 g_cfe6c79baec5 g_db4a8dbe790b g_68971be96048 g_cdab0312f9ba g_7944a8a0c287 g_130a37598824 g_018969561d96 g_626dcdad119a g_1a5aac51a659 g_d648ead5c900 g_1307a0fd7c6b g_fd816175409d g_50b48a5cc083 g_0e83f250306f g_6fa85c5d715e g_da1e5df4bc02 g_13da2f95f620 g_9196ee89c94d g_19b453348e54 g_8f1a5d85202c g_9f1cf15a2d25 g_efaf352ea572 g_9053723af4c5 g_435a82857e20 g_da5aa13b1968 g_de34db7b1c7f g_97e267815836
q_2710a551988e,g_435a82857e20 g_db4a8dbe790b g_da1e5df4bc02 g_68971be96048 g_19b453348e54 g_13da2f95f620 g_e9acdf8b8ddc g_0e83f250306f g_626dcdad119a g_d648ead5c900 g_130a37598824 g_87349afa09f2 g_018969561d96 g_fd816175409d g_687f1f38b2c3 g_1307a0fd7c6b g_7944a8a0c287 g_31e014b88352 g_9053723af4c5 g_de34db7b1c7f g_0b251252e181 g_9196ee89c94d g_0543c42a8f32 g_f9d76f64d617 g_bf9a2a253bcd g_d889b7fc777b g_cfe6c79baec5 g_6fa85c5d715e g_da5aa13b1968 g_671004fc2775 g_a6bf3a75923e g_aff5d510e717 g_50b48a5cc083 g_1a5aac51a659 g_8f1a5d85202c g_858dc785cf2d g_9f1cf15a2d25 g_97e267815836 g_efaf352ea572 g_cdab0312f9ba
q_304671b93f1c,g_858dc785cf2d g_efaf352ea572 g_671004fc2775 g_687f1f38b2c3 g_87349afa09f2 g_68971be96048 g_9f1cf15a2d25 g_7944a8a0c287 g_f9d76f64d617 g_a6bf3a75923e g_e9acdf8b8ddc g_bf9a2a253bcd g_0543c42a8f32 g_1a5aac51a659 g_aff5d510e717 g_31e014b88352 g_0b251252e181 g_fd816175409d g_6fa85c5d715e g_626dcdad119a g_018969561d96 g_0e83f250306f g_d889b7fc777b g_db4a8dbe790b g_1307a0fd7c6b g_13da2f95f620 g_d648ead5c900 g_cfe6c79baec5 g_19b453348e54 g_130a37598824 g_da1e5df4bc02 g_9053723af4c5 g_da5aa13b1968 g_50b48a5cc083 g_9196ee89c94d g_cdab0312f9ba g_de34db7b1c7f g_8f1a5d85202c g_97e267815836 g_435a82857e20
